ID,Hospital Name,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,Score,District,Risk
0,Campos Hospital Group,8,8,10,10,8,8,4,10,10,10,10,10,2,8,2,4,10,10,820,1,High
1,Scott and Sons Hospital Group,10,8,6,10,10,6,10,10,10,4,8,10,2,10,6,4,10,6,810,5,High
2,"King, Jefferson and White General Hospital",10,8,4,8,8,10,8,2,10,10,6,8,8,8,6,10,4,10,795,3,Medium
3,"Hendricks, Morgan and Wilson Medical Center",6,8,8,6,8,6,6,8,10,10,6,10,10,10,4,2,8,10,785,2,Medium
4,"Arnold, Moore and Haas Hospital Group",6,8,8,4,2,10,10,4,6,10,10,10,10,10,6,10,10,2,785,2,Medium
5,Beard-Anderson Hospital Group,8,4,8,10,10,10,10,4,6,10,2,8,10,10,4,8,6,8,785,1,Medium
6,Garrett-Keller Hospital Group,4,6,6,8,10,8,10,2,6,6,10,8,10,6,8,8,8,10,775,5,Medium
7,"Chase, Torres and Jones Medical Group",10,6,8,2,10,8,10,4,10,6,2,10,6,10,6,10,6,10,775,2,Medium
8,"Simmons, Banks and Humphrey Hospital Group",4,4,6,8,6,6,10,10,10,10,8,2,8,4,10,8,8,10,770,3,High
9,Owens PLC Medical Center,8,4,8,8,10,8,8,10,10,4,6,10,4,10,8,4,8,4,770,4,High
10,Robinson Hospital Group,6,8,10,4,8,4,10,4,10,4,4,8,8,10,10,10,4,10,765,5,Medium
11,"Turner, Jones and Doyle Medical Center",8,6,8,6,10,6,4,10,2,10,2,10,10,8,8,6,10,8,765,2,Medium
12,Williams-Stephens Medical Center,4,6,2,6,6,10,6,4,10,8,8,10,8,10,8,10,8,8,765,1,Medium
13,"Roy, Riley and Peters Hospital Group",10,10,8,8,8,4,4,4,10,10,8,6,6,4,10,6,4,10,760,3,High
14,"Shah, Baldwin and Snyder General Hospital",8,10,6,10,10,4,6,6,10,8,10,6,6,6,6,10,6,2,760,3,High
15,Caldwell-Hall Medical Group,10,6,10,8,8,10,4,8,8,10,10,8,6,2,2,6,10,4,760,2,High
16,"Moss, White and Ruiz General Hospital",4,8,8,2,8,6,10,4,10,10,10,2,4,10,8,8,10,8,760,5,High
17,Simpson-Howard Hospital Group,10,8,10,2,10,10,6,6,10,6,4,6,2,8,10,6,8,8,760,4,High
18,Jones-Clayton General Hospital,10,2,10,8,8,8,10,10,6,4,6,4,10,8,8,10,2,6,760,2,High
19,Moore-Allen Medical Group,10,8,10,10,4,6,10,6,8,8,6,10,8,8,10,4,2,2,760,3,High
20,"Davis, Smith and Jackson General Hospital",10,8,10,6,10,8,8,8,4,10,8,8,10,6,2,2,6,6,755,2,Medium
21,Jackson-Alexander General Hospital,8,6,10,6,8,6,10,8,2,10,6,10,10,6,6,10,2,6,755,2,Medium
